word,cefr,part_of_speech
aeroquip,B1,other
aerosmith,B1,other
aerosol,B1,other
aerosols,B1,other
aerospace,B1,other
aerostar,B1,other
aerostars,B1,other
aerostat,B1,other
aerostats,B1,other
aerotech,B1,other
aerovias,B1,other
aerts,B1,other
aeschelus,B1,other
aeschliman,B1,other
aesop,B1,other
aesthete,B1,other
aesthetes,B1,other
aesthetic,B1,other
aesthetics,B1,other
aetna,B1,other
afanasyev,B1,other
afar,B1,other
affable,B1,other
affably,B1,other
affair,B1,other
affairs,B1,other
affect,B1,other
affected,B1,other
affecting,B1,other
affection,B1,other
affections,B1,other
affective,B1,other
affects,B1,other
affeldt,B1,other
afferent,B1,other
affiant,B1,other
affidavit,B1,other
affidavits,B1,other
affiliate,B1,other
affiliated,B1,other
affiliates,B1,other
affine,B1,other
affined,B1,other
affines,B1,other
affining,B1,other
affinities,B1,other
affinity,B1,other
affirm,B1,other
affirmed,B1,other
affirming,B1,other
affirms,B1,other
affix,B1,other
affixed,B1,other
affixes,B1,other
affixing,B1,other
affleck,B1,other
afflerbach,B1,other
afflict,B1,other
afflicted,B1,other
afflicting,B1,other
affliction,B1,other
afflicts,B1,other
afflik,B1,other
affluence,B1,other
affluent,B1,other
affolter,B1,other
afford,B1,other
affordable,B1,other
affordably,B1,other
afforded,B1,other
affording,B1,other
affords,B1,other
affricate,B1,other
affricates,B1,other
affront,B1,other
affronted,B1,other
affronting,B1,other
affronts,B1,other
affymax,B1,other
afghan,B1,other
afghani,B1,other
afghanis,B1,other
afghans,B1,other
afheldt,B1,other
aficionado,B1,other
afield,B1,other
afire,B1,other
afl,B1,other
aflame,B1,other
aflatoxin,B1,other
afloat,B1,other
aflutter,B1,other
afmed,B1,other
afonso,B1,other
afoot,B1,other
aforesaid,B1,other
afoul,B1,other
afraid,B1,other
afresh,B1,other
africa,B1,other
african,B1,other
africanist,B1,other
africanize,B1,other
africans,B1,other
afridi,B1,other
afrikaans,B1,other
afrikaner,B1,other
afrikaners,B1,other
afro,B1,other
afsane,B1,other
afshar,B1,other
aft,B1,other
after,B1,other
afterall,B1,other
afterglow,B1,other
afterglows,B1,other
afterhours,B1,other
afterimage,B1,other
afterlife,B1,other
afterlives,B1,other
aftermath,B1,other
aftermaths,B1,other
afternoon,B1,other
afternoons,B1,other
aftershave,B1,other
aftershock,B1,other
aftertaste,B1,other
aftertax,B1,other
afterward,B1,other
afterwards,B1,other
afula,B1,other
ag,B1,other
aga,B1,other
agache,B1,other
agaches,B1,other
again,B1,other
against,B1,other
agamemnon,B1,other
agan,B1,other
agana,B1,other
aganbegyan,B1,other
agans,B1,other
agape,B1,other
agar,B1,other
agard,B1,other
agarwal,B1,other
agasp,B1,other
agassi,B1,other
agassiz,B1,other
agate,B1,other
agates,B1,other
agatha,B1,other
agawam,B1,other
agco,B1,other
age,B1,other
aged,B1,other
agee,B1,other
ageless,B1,other
agematsu,B1,other
agence,B1,other
agencies,B1,other
agency,B1,other
agenda,B1,other
agendas,B1,other
agent,B1,other
agents,B1,other
ager,B1,other
ageratum,B1,other
ageratums,B1,other
agers,B1,other
agerton,B1,other
ages,B1,other
agfa,B1,other
aggarwal,B1,other
aggie,B1,other
aggies,B1,other
aggrandize,B1,other
aggravate,B1,other
aggravated,B1,other
aggravates,B1,other
aggregate,B1,other
aggregated,B1,other
aggregates,B1,other
aggress,B1,other
aggression,B1,other
aggressive,B1,other
aggressor,B1,other
aggressors,B1,other
aggrey,B1,other
aggrieve,B1,other
aggrieved,B1,other
aggy,B1,other
aghast,B1,other
aghazadeh,B1,other
agie,B1,other
agildo,B1,other
agile,B1,other
agilis,B1,other
agility,B1,other
agin,B1,other
agincourt,B1,other
aging,B1,other
agins,B1,other
agip,B1,other
agitate,B1,other
agitated,B1,other
agitating,B1,other
agitation,B1,other
agitator,B1,other
agitators,B1,other
agitprop,B1,other
agius,B1,other
agleam,B1,other
agler,B1,other
aglitter,B1,other
aglo,B1,other
aglow,B1,other
agna,B1,other
agne,B1,other
agnella,B1,other
agnelli,B1,other
agnellis,B1,other
agnello,B1,other
agner,B1,other
agnes,B1,other
agneta,B1,other
agnew,B1,other
agnico,B1,other
agnor,B1,other
agnos,B1,other
agnosio,B1,other
agnostic,B1,other
agnostics,B1,other
ago,B1,other
agog,B1,other
agoglia,B1,other
agonies,B1,other
agonist,B1,other
agonists,B1,other
agonize,B1,other
agonized,B1,other
agonizes,B1,other
agonizing,B1,other
agony,B1,other
agora,B1,other
agosta,B1,other
agostini,B1,other
agostino,B1,other
agosto,B1,other
agoura,B1,other
agouron,B1,other
agra,B1,other
agrarian,B1,other
agrawal,B1,other
agree,B1,other
agreeable,B1,other
agreed,B1,other
agreeing,B1,other
agreement,B1,other
agreements,B1,other
agrees,B1,other
agregable,B1,other
agregious,B1,other
agresource,B1,other
agresta,B1,other
agresti,B1,other
agrexco,B1,other
agri,B1,other
agribank,B1,other
agrico,B1,other
agricola,B1,other
agricole,B1,other
agrifuel,B1,other
agrifuels,B1,other
agrippa,B1,other
agrivisor,B1,other
agro,B1,other
agrokomerc,B1,other
agronomist,B1,other
agronomy,B1,other
agrosiand,B1,other
aground,B1,other
agrusa,B1,other
agua,B1,other
aguacate,B1,other
aguadilla,B1,other
aguado,B1,other
aguanga,B1,other
aguayo,B1,other
agudelo,B1,other
ague,B1,other
aguero,B1,other
aguiar,B1,other
aguila,B1,other
aguilar,B1,other
aguilera,B1,other
aguillar,B1,other
aguillard,B1,other
aguillon,B1,other
aguilo,B1,other
aguinaga,B1,other
aguirra,B1,other
aguirre,B1,other
agustin,B1,other
ah,B1,other
aha,B1,other
ahab,B1,other
ahah,B1,other
aharon,B1,other
ahart,B1,other
ahasuerus,B1,other
ahaulsie,B1,other
ahead,B1,other
ahearn,B1,other
aherin,B1,other
ahern,B1,other
aherne,B1,other
ahh,B1,other
ahl,B1,other
ahlberg,B1,other
ahlborn,B1,other
ahlen,B1,other
ahlers,B1,other
ahles,B1,other
ahlf,B1,other
ahlgren,B1,other
ahlgrim,B1,other
ahlin,B1,other
ahlman,B1,other
ahlquist,B1,other
ahlquists,B1,other
ahlstrand,B1,other
ahlstrom,B1,other
ahluwalia,B1,other
ahmad,B1,other
ahmadi,B1,other
ahmann,B1,other
ahmanson,B1,other
ahmansons,B1,other
ahmed,B1,other
ahmeek,B1,other
